H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/29 00:00:00,296.02,296.01,295.25,297.00,0.00,0.01,-0.04,0.04,233.05,0.04,0.00,49.959,>
M<2024/07/29 00:00:10,296.07,296.07,295.38,297.00,0.00,0.01,-0.04,0.04,233.11,-0.07,-0.00,49.907,>
M<2024/07/29 00:00:20,296.12,296.12,295.38,297.13,0.00,0.01,-0.04,0.05,233.13,-0.36,-0.00,49.913,>
M<2024/07/29 00:00:30,296.13,296.13,295.38,297.13,0.00,0.01,-0.04,0.05,233.08,-0.16,-0.00,49.885,>
M<2024/07/29 00:00:40,296.21,296.21,295.50,297.25,0.00,0.01,-0.04,0.04,232.86,0.15,0.00,49.907,>
M<2024/07/29 00:00:50,296.19,296.19,295.50,297.13,0.00,0.01,-0.05,0.05,232.72,-0.15,-0.00,49.998,>
M<2024/07/29 00:01:00,296.22,296.22,295.50,297.38,0.00,0.01,-0.05,0.05,232.93,0.45,0.00,49.861,>
M<2024/07/29 00:01:10,296.23,296.23,295.38,297.25,0.00,0.01,-0.04,0.07,232.87,-0.14,-0.00,49.867,>
M<2024/07/29 00:01:20,296.29,296.30,295.50,297.13,0.00,0.01,-0.03,0.04,232.88,-0.43,-0.00,49.881,>
M<2024/07/29 00:01:30,296.34,296.34,295.75,297.50,0.00,0.01,-0.05,0.04,233.01,0.17,0.00,49.869,>
M<2024/07/29 00:01:40,296.36,296.36,295.63,297.38,0.00,0.01,-0.09,0.09,232.74,0.06,0.00,49.867,>
M<2024/07/29 00:01:50,296.39,296.39,295.63,297.25,0.00,0.01,-0.03,0.09,232.58,-0.09,-0.00,49.886,>
M<2024/07/29 00:02:00,296.35,296.35,295.63,297.38,0.00,0.01,-0.04,0.04,232.47,0.40,0.00,49.865,>
M<2024/07/29 00:02:10,296.37,296.37,295.75,297.38,0.00,0.01,-0.04,0.04,232.51,0.22,0.00,50.013,>
M<2024/07/29 00:02:20,296.44,296.44,295.75,297.50,0.00,0.01,-0.04,0.05,232.59,-0.00,-0.00,49.894,>
M<2024/07/29 00:02:30,296.49,296.49,295.75,297.38,0.00,0.01,-0.03,0.08,232.51,-0.07,-0.00,50.002,>
M<2024/07/29 00:02:40,296.51,296.51,295.88,297.50,0.00,0.01,-0.05,0.04,232.58,0.19,0.00,49.870,>
M<2024/07/29 00:02:50,296.57,296.57,295.88,297.63,0.00,0.01,-0.05,0.05,232.49,-0.15,-0.00,49.889,>
M<2024/07/29 00:03:00,296.63,296.63,295.88,297.50,0.00,0.01,-0.04,0.04,232.25,0.41,0.00,49.886,>
M<2024/07/29 00:03:10,296.67,296.67,296.00,297.63,0.00,0.01,-0.04,0.04,232.05,-0.10,-0.00,49.905,>
M<2024/07/29 00:03:20,296.64,296.64,295.75,297.63,0.00,0.01,-0.05,0.04,232.19,-0.26,-0.00,49.892,>
M<2024/07/29 00:03:30,296.75,296.75,296.00,297.63,0.00,0.01,-0.04,0.04,232.11,-0.12,-0.00,49.871,>
M<2024/07/29 00:03:40,296.82,296.82,296.13,297.75,0.00,0.01,-0.05,0.04,232.02,0.32,0.00,49.914,>
M<2024/07/29 00:03:50,296.83,296.83,296.13,297.75,0.00,0.01,-0.04,0.05,232.04,0.03,0.00,49.901,>
