H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/27 00:00:06,465.79,465.79,464.88,467.13,0.00,0.01,-0.04,0.09,235.37,0.09,0.00,49.969,>
M<2024/07/27 00:00:16,465.66,465.66,464.75,467.00,0.00,0.01,-0.03,0.06,235.13,-0.18,-0.00,49.918,>
M<2024/07/27 00:00:26,465.78,465.78,464.88,467.13,0.00,0.01,-0.04,0.04,235.24,0.30,0.00,49.927,>
M<2024/07/27 00:00:36,465.82,465.82,464.88,467.25,0.00,0.01,-0.04,0.05,235.59,0.32,0.00,49.936,>
M<2024/07/27 00:00:47,465.79,465.79,464.88,467.13,0.00,0.01,-0.03,0.09,235.48,0.17,0.00,50.040,>
M<2024/07/27 00:00:57,465.88,465.88,465.00,467.38,0.00,0.01,-0.05,0.04,235.38,0.14,0.00,49.933,>
M<2024/07/27 00:01:07,465.99,465.99,465.13,467.38,0.00,0.01,-0.05,0.05,235.47,0.05,0.00,49.917,>
M<2024/07/27 00:01:17,465.87,465.87,465.00,467.13,0.00,0.01,-0.04,0.04,235.29,0.01,0.00,49.940,>
M<2024/07/27 00:01:27,465.89,465.90,465.00,467.38,0.00,0.01,-0.03,0.04,235.21,0.25,0.00,50.018,>
M<2024/07/27 00:01:37,465.96,465.96,465.00,467.25,0.00,0.01,-0.04,0.07,235.13,0.47,0.00,49.916,>
M<2024/07/27 00:01:47,465.97,465.97,464.88,467.38,0.00,0.01,-0.09,0.05,235.26,0.07,0.00,49.949,>
M<2024/07/27 00:01:57,466.00,466.00,465.00,467.63,0.00,0.01,-0.04,0.04,235.18,0.15,0.00,49.943,>
M<2024/07/27 00:02:07,466.04,466.04,464.88,467.50,0.00,0.01,-0.04,0.04,235.52,-0.23,-0.00,49.895,>
M<2024/07/27 00:02:17,466.05,466.05,465.13,467.38,0.00,0.01,-0.05,0.05,235.90,0.27,0.00,49.925,>
M<2024/07/27 00:02:27,466.08,466.08,465.13,467.38,0.00,0.01,-0.04,0.06,235.96,-0.05,-0.00,49.912,>
M<2024/07/27 00:02:37,466.07,466.07,465.13,467.38,0.00,0.01,-0.03,0.05,235.89,-0.20,-0.00,49.902,>
M<2024/07/27 00:02:47,466.15,466.16,465.25,467.75,0.00,0.01,-0.03,0.04,236.12,-0.03,-0.00,49.889,>
M<2024/07/27 00:02:57,466.24,466.24,465.38,467.63,0.00,0.01,-0.05,0.04,236.13,0.14,0.00,49.882,>
M<2024/07/27 00:03:07,466.31,466.31,465.25,467.75,0.00,0.01,-0.04,0.04,235.82,-0.20,-0.00,49.902,>
M<2024/07/27 00:03:17,466.19,466.19,465.25,467.50,0.00,0.01,-0.11,0.05,235.85,0.36,0.00,49.928,>
M<2024/07/27 00:03:27,466.25,466.25,465.25,467.50,0.00,0.01,-0.03,0.04,235.76,0.21,0.00,49.908,>
M<2024/07/27 00:03:37,466.27,466.27,465.38,467.50,0.00,0.01,-0.05,0.04,235.61,0.29,0.00,49.930,>
M<2024/07/27 00:03:47,466.21,466.21,465.25,467.50,0.00,0.01,-0.06,0.05,235.03,-0.23,-0.00,49.881,>
M<2024/07/27 00:03:57,466.26,466.26,465.38,467.75,0.00,0.01,-0.05,0.07,234.88,-0.13,-0.00,49.941,>
M<2024/07/27 00:04:07,466.34,466.34,465.38,467.63,0.00,0.01,-0.04,0.04,235.09,0.35,0.00,49.924,>
M<2024/07/27 00:04:17,466.33,466.33,465.38,467.63,0.00,0.01,-0.04,0.05,235.25,0.24,0.00,49.927,>
M<2024/07/27 00:04:27,466.37,466.37,465.38,467.75,0.00,0.01,-0.04,0.04,234.84,-0.22,-0.00,49.914,>
M<2024/07/27 00:04:37,466.33,466.33,465.38,467.75,0.00,0.01,-0.05,0.04,235.12,0.19,0.00,49.916,>
M<2024/07/27 00:04:47,466.38,466.38,465.50,467.75,0.00,0.01,-0.04,0.10,235.01,-0.16,-0.00,49.896,>
M<2024/07/27 00:04:57,466.38,466.38,465.38,467.75,0.00,0.01,-0.05,0.07,235.11,-0.20,-0.00,49.930,>
M<2024/07/27 00:05:07,466.39,466.39,465.38,467.75,0.00,0.01,-0.03,0.04,234.97,-0.06,-0.00,49.964,>
