H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/30 00:00:08,273.30,273.30,272.63,274.13,0.00,0.01,-0.04,0.05,232.43,0.26,0.00,50.006,>
M<2024/07/30 00:00:18,273.27,273.27,272.63,274.13,0.00,0.01,-0.04,0.04,232.44,-0.01,-0.00,49.942,>
M<2024/07/30 00:00:28,273.30,273.30,272.63,274.25,0.00,0.01,-0.09,0.04,232.18,0.06,0.00,49.932,>
M<2024/07/30 00:00:38,273.47,273.47,272.88,274.38,0.00,0.01,-0.09,0.04,232.15,0.22,0.00,49.991,>
M<2024/07/30 00:00:49,273.54,273.54,272.88,274.50,0.00,0.01,-0.04,0.04,232.48,0.08,0.00,49.925,>
M<2024/07/30 00:00:59,273.61,273.61,272.88,274.75,0.00,0.01,-0.03,0.04,232.32,0.20,0.00,49.890,>
M<2024/07/30 00:01:09,273.56,273.56,272.75,274.38,0.00,0.01,-0.04,0.06,232.13,0.05,0.00,49.918,>
M<2024/07/30 00:01:19,273.51,273.51,272.75,274.50,0.00,0.01,-0.03,0.05,232.00,0.43,0.00,49.903,>
M<2024/07/30 00:01:29,273.55,273.55,273.00,274.50,0.00,0.01,-0.04,0.04,232.12,0.37,0.00,49.897,>
M<2024/07/30 00:01:40,273.62,273.62,272.88,274.63,0.00,0.01,-0.04,0.04,232.25,-0.26,-0.00,49.916,>
M<2024/07/30 00:01:50,273.65,273.65,273.00,274.63,0.00,0.01,-0.05,0.04,232.00,-0.16,-0.00,49.904,>
M<2024/07/30 00:02:00,273.69,273.69,273.00,274.75,0.00,0.01,-0.04,0.04,232.29,0.18,0.00,50.004,>
M<2024/07/30 00:02:10,273.75,273.74,273.00,274.63,0.00,0.01,-0.04,0.04,232.96,0.31,0.00,49.942,>
M<2024/07/30 00:02:20,273.83,273.83,273.25,274.75,0.00,0.01,-0.04,0.04,232.80,-0.23,-0.00,49.906,>
M<2024/07/30 00:02:30,273.71,273.71,272.63,274.75,0.00,0.01,-0.04,0.05,232.93,0.09,0.00,49.907,>
M<2024/07/30 00:02:40,273.99,273.99,273.38,274.88,0.00,0.01,-0.04,0.04,233.05,0.15,0.00,49.893,>
M<2024/07/30 00:02:50,273.87,273.87,273.00,275.00,0.00,0.01,-0.04,0.04,232.99,0.12,0.00,49.919,>
M<2024/07/30 00:03:00,273.91,273.91,273.13,274.75,0.00,0.01,-0.04,0.04,232.77,-0.23,-0.00,49.914,>
M<2024/07/30 00:03:10,274.04,274.04,273.38,274.88,0.00,0.01,-0.05,0.05,232.70,-0.59,-0.00,49.914,>
M<2024/07/30 00:03:20,274.12,274.12,273.38,275.00,0.00,0.01,-0.04,0.04,233.09,0.24,0.00,49.918,>
M<2024/07/30 00:03:30,274.21,274.21,273.50,275.38,0.00,0.01,-0.03,0.04,233.51,-0.09,-0.00,49.880,>
M<2024/07/30 00:03:40,274.30,274.29,273.63,275.13,0.00,0.01,-0.05,0.04,233.23,-0.08,-0.00,49.913,>
M<2024/07/30 00:03:50,274.34,274.34,273.63,275.25,0.00,0.01,-0.07,0.04,232.90,-0.18,-0.00,50.034,>
M<2024/07/30 00:04:00,274.38,274.38,273.63,275.25,0.00,0.01,-0.04,0.04,232.64,0.21,0.00,49.913,>
M<2024/07/30 00:04:10,274.44,274.44,273.88,275.50,0.00,0.01,-0.05,0.04,232.59,-0.21,-0.00,49.875,>
M<2024/07/30 00:04:20,274.43,274.43,273.75,275.38,0.00,0.01,-0.04,0.04,233.00,-0.29,-0.00,49.895,>
M<2024/07/30 00:04:30,274.50,274.50,273.88,275.50,0.00,0.01,-0.09,0.09,233.04,0.07,0.00,49.884,>
M<2024/07/30 00:04:40,274.55,274.55,274.00,275.50,0.00,0.01,-0.04,0.04,233.04,-0.05,-0.00,49.882,>
M<2024/07/30 00:04:50,274.64,274.64,274.00,275.75,0.00,0.01,-0.04,0.04,232.95,-0.14,-0.00,49.896,>
M<2024/07/30 00:05:00,274.69,274.69,274.00,275.63,0.00,0.01,-0.04,0.05,233.28,0.20,0.00,49.905,>
M<2024/07/30 00:05:10,274.66,274.66,274.00,275.50,0.00,0.01,-0.05,0.05,233.36,0.25,0.00,49.914,>
M<2024/07/30 00:05:20,274.70,274.70,274.13,275.63,0.00,0.01,-0.03,0.04,233.45,0.15,0.00,49.909,>
M<2024/07/30 00:05:30,274.72,274.72,274.13,275.63,0.00,0.01,-0.06,0.05,233.20,0.21,0.00,49.907,>
M<2024/07/30 00:05:40,274.75,274.75,274.00,275.75,0.00,0.01,-0.04,0.04,233.50,-0.02,-0.00,49.893,>
M<2024/07/30 00:05:50,274.84,274.84,274.13,275.75,0.00,0.01,-0.03,0.04,233.62,-0.13,-0.00,49.902,>
M<2024/07/30 00:06:00,274.88,274.88,274.13,275.75,0.00,0.01,-0.04,0.04,233.44,-0.13,-0.00,50.013,>
M<2024/07/30 00:06:10,275.00,275.00,274.25,275.88,0.00,0.01,-0.04,0.04,233.44,0.11,0.00,49.889,>
M<2024/07/30 00:06:20,275.04,275.04,274.38,275.88,0.00,0.01,-0.04,0.04,233.21,-0.30,-0.00,49.899,>
M<2024/07/30 00:06:30,275.15,275.15,274.50,276.00,0.00,0.01,-0.04,0.05,233.47,-0.07,-0.00,49.883,>
M<2024/07/30 00:06:40,275.16,275.16,274.50,276.38,0.00,0.01,-0.09,0.05,233.64,0.40,0.00,49.880,>
M<2024/07/30 00:06:51,275.20,275.20,274.50,276.13,0.00,0.01,-0.04,0.04,233.45,0.04,0.00,50.031,>
M<2024/07/30 00:07:01,275.21,275.21,274.63,276.13,0.00,0.01,-0.04,0.05,233.33,0.29,0.00,49.893,>
M<2024/07/30 00:07:11,275.28,275.28,274.63,276.13,0.00,0.01,-0.08,0.04,233.43,0.02,0.00,49.917,>
M<2024/07/30 00:07:21,275.35,275.35,274.63,276.25,0.00,0.01,-0.07,0.04,233.74,-0.31,-0.00,49.887,>
M<2024/07/30 00:07:31,275.36,275.35,274.50,276.25,0.00,0.01,-0.05,0.03,233.92,-0.23,-0.00,49.905,>
M<2024/07/30 00:07:41,275.42,275.42,274.63,276.25,0.00,0.01,-0.04,0.04,233.89,-0.18,-0.00,49.909,>
M<2024/07/30 00:07:51,275.53,275.53,274.88,276.38,0.00,0.01,-0.08,0.04,233.59,0.59,0.00,49.898,>
M<2024/07/30 00:08:01,275.50,275.50,274.75,276.38,0.00,0.01,-0.04,0.05,233.69,0.24,0.00,49.917,>
M<2024/07/30 00:08:11,275.46,275.46,274.75,276.38,0.00,0.01,-0.08,0.05,234.15,0.25,0.00,49.907,>
M<2024/07/30 00:08:21,275.55,275.55,274.88,276.63,0.00,0.01,-0.04,0.09,233.96,-0.09,-0.00,49.892,>
M<2024/07/30 00:08:31,275.59,275.59,274.88,276.63,0.00,0.01,-0.04,0.04,233.90,0.09,0.00,49.917,>
M<2024/07/30 00:08:41,275.71,275.71,275.00,276.63,0.00,0.01,-0.03,0.05,234.05,0.30,0.00,49.914,>
M<2024/07/30 00:08:51,275.73,275.73,275.00,276.63,0.00,0.01,-0.05,0.04,234.19,-0.38,-0.00,49.928,>
M<2024/07/30 00:09:01,275.80,275.80,275.13,276.63,0.00,0.01,-0.05,0.09,233.80,-0.44,-0.00,49.950,>
M<2024/07/30 00:09:11,275.86,275.85,275.25,276.88,0.00,0.01,-0.05,0.09,233.87,0.39,0.00,49.905,>
M<2024/07/30 00:09:21,275.91,275.91,275.25,276.88,0.00,0.01,-0.04,0.05,233.91,0.05,0.00,49.916,>
M<2024/07/30 00:09:31,276.01,276.01,275.25,276.88,0.00,0.01,-0.04,0.04,233.65,0.07,0.00,49.949,>
M<2024/07/30 00:09:41,276.04,276.04,275.38,276.88,0.00,0.01,-0.05,0.04,233.55,-0.06,-0.00,49.994,>
M<2024/07/30 00:09:52,276.11,276.11,275.38,277.00,0.00,0.01,-0.08,0.04,233.41,0.28,0.00,49.920,>
M<2024/07/30 00:10:02,276.15,276.15,275.50,277.13,0.00,0.01,-0.05,0.04,233.51,-0.20,-0.00,49.969,>
M<2024/07/30 00:10:12,276.24,276.24,275.50,277.13,0.00,0.01,-0.04,0.05,233.72,0.30,0.00,49.961,>
M<2024/07/30 00:10:22,276.25,276.25,275.50,277.38,0.00,0.01,-0.03,0.04,233.56,0.08,0.00,49.948,>
M<2024/07/30 00:10:32,276.31,276.31,275.63,277.25,0.00,0.01,-0.04,0.05,233.71,0.13,0.00,49.956,>
M<2024/07/30 00:10:42,276.29,276.29,275.63,277.25,0.00,0.01,-0.07,0.04,233.37,0.10,0.00,49.940,>
M<2024/07/30 00:10:52,276.35,276.36,275.75,277.38,0.00,0.01,-0.03,0.04,233.15,-0.59,-0.00,49.963,>
M<2024/07/30 00:11:02,276.36,276.36,275.75,277.25,0.00,0.01,-0.04,0.04,233.24,0.11,0.00,49.922,>
M<2024/07/30 00:11:12,276.47,276.48,275.88,277.25,0.00,0.01,-0.05,0.05,233.38,0.33,0.00,49.976,>
